index,set,topic,user_prompt,credit_hours,catalog_year,degree_major_concentration
50,generic_1,Department & University Resources,Who else should I be talking to regularly besides you for academic and career guidance?,Up to 29,2023-2024,BS Dual Degree Physics and Mechanical Engineering
51,generic_2,Course Planning & Academic Strategy,What's the most efficient path through my remaining required courses?,90 to 119,2022-2023,BSCPE Computer Engineering
52,generic_2,Course Planning & Academic Strategy,Which technical electives align best with current industry trends?,30 to 59,2022-2023,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
53,generic_2,Course Planning & Academic Strategy,Should I consider taking graduate-level courses as an undergraduate?,60 to 89,2023-2024,BS Dual Degree Physics and Electrical Engineering
54,generic_2,Course Planning & Academic Strategy,How do I plan around courses that are only offered once per year?,150 or more,2022-2023,BS Dual Degree Physics and Mechanical Engineering
55,generic_2,Course Planning & Academic Strategy,What's your recommendation for balancing theoretical and hands-on courses each semester?,30 to 59,2022-2023,"BSEE Electrical Engineering, Machine Learning Concentration"
56,generic_2,Course Planning & Academic Strategy,Are there any courses I should avoid taking during internship recruiting season?,Up to 29,2024-2025,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
57,generic_2,Course Planning & Academic Strategy,Which professors would you recommend for my remaining core courses?,120 to 149,2022-2023,BSCPE Computer Engineering
58,generic_2,Course Planning & Academic Strategy,Should I consider overloading any semesters to graduate early?,30 to 59,2022-2023,"BSEE Electrical Engineering, Machine Learning Concentration"
59,generic_2,Degree Requirements & Graduation Planning,What's the latest I can change my concentration without delaying graduation?,60 to 89,2024-2025,BSSE Systems Engineering
60,generic_2,Degree Requirements & Graduation Planning,Are there any ABET requirements I need to be particularly mindful of?,None yet!,2025-2026,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
61,generic_2,Degree Requirements & Graduation Planning,How do I ensure I'm meeting the design credit requirements effectively?,Up to 29,2025-2026,BSCPE Computer Engineering
62,generic_2,Degree Requirements & Graduation Planning,What documentation do I need to keep track of for graduation clearance?,Up to 29,2024-2025,"BSME Mechanical Engineering, Energy Engineering Concentration"
63,generic_2,Degree Requirements & Graduation Planning,Can any of my extracurricular activities count toward degree requirements?,150 or more,2021-2022,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
64,generic_2,Degree Requirements & Graduation Planning,What's the process if I want to add a second major or dual degree?,None yet!,2025-2026,"BSME Mechanical Engineering, Aerospace Engineering Concentration"
65,generic_2,Research & Innovation Opportunities,Which faculty members are currently accepting undergraduate researchers?,30 to 59,2025-2026,BSME Mechanical Engineering
66,generic_2,Research & Innovation Opportunities,How do I identify research projects that match my interests?,150 or more,2022-2023,BSME Mechanical Engineering
67,generic_2,Research & Innovation Opportunities,What's the time commitment typically expected for undergraduate research?,120 to 149,2022-2023,BSCE Civil Engineering
68,generic_2,Research & Innovation Opportunities,Are there funding opportunities for student research projects?,90 to 119,2022-2023,BS Dual Degree Physics and Mechanical Engineering
69,generic_2,Research & Innovation Opportunities,How do I transition from coursework to independent research thinking?,60 to 89,2024-2025,"BSEE Electrical Engineering, Machine Learning Concentration"
70,generic_2,Research & Innovation Opportunities,What undergraduate research conferences should I target for presentations?,30 to 59,2023-2024,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
71,generic_2,Research & Innovation Opportunities,Should I pursue publication opportunities as an undergraduate?,60 to 89,2024-2025,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
72,generic_2,Industry Connections & Career Preparation,Which industry partnerships does our department have that I should know about?,90 to 119,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
73,generic_2,Industry Connections & Career Preparation,How do I leverage my high GPA during recruiting and networking?,60 to 89,2024-2025,BS Dual Degree Physics and Mechanical Engineering
74,generic_2,Industry Connections & Career Preparation,What technical skills are employers looking for that aren't covered in coursework?,60 to 89,2024-2025,BS Dual Degree Physics and Electrical Engineering
75,generic_2,Industry Connections & Career Preparation,Which career fairs and networking events are most valuable for ME students?,Up to 29,2025-2026,BS Dual Degree Physics and Electrical Engineering
76,generic_2,Industry Connections & Career Preparation,How do I identify and reach out to alumni in my areas of interest?,None yet!,2025-2026,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
77,generic_2,Industry Connections & Career Preparation,What's the best way to build relationships with industry professionals?,120 to 149,2022-2023,BSCM Construction Management
78,generic_2,Professional Development & Skills,What certifications or licenses should I consider pursuing while in school?,Up to 29,2024-2025,BSCE Civil Engineering
79,generic_2,Professional Development & Skills,"How important is CAD proficiency, and which software should I prioritize?",None yet!,2025-2026,BSCM Construction Management
80,generic_2,Professional Development & Skills,Are there any programming languages particularly valuable for mechanical engineers?,Up to 29,2025-2026,"BSME Mechanical Engineering, Energy Engineering Concentration"
81,generic_2,Professional Development & Skills,What project management or leadership development opportunities are available?,30 to 59,2022-2023,"BSSE Systems Engineering, Energy Systems Concentration"
82,generic_2,Professional Development & Skills,How do I develop better technical communication and presentation skills?,Up to 29,2025-2026,BSEE Electrical Engineering
83,generic_2,Professional Development & Skills,Should I consider joining professional societies like ASME now or after graduation?,60 to 89,2023-2024,BSSE Systems Engineering
84,generic_2,Academic Support & Resources,What advanced tutoring or mentoring programs are available for upper-level courses?,30 to 59,2023-2024,BSCE Civil Engineering
85,generic_2,Academic Support & Resources,How do I access specialized software and computing resources?,120 to 149,2021-2022,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
86,generic_2,Academic Support & Resources,Are there study groups or collaborative learning opportunities I should join?,90 to 119,2022-2023,BS Dual Degree Physics and Computer Engineering
87,generic_2,Academic Support & Resources,What academic accommodations are available if I need them?,120 to 149,2022-2023,"BSCPE Computer Engineering, Machine Learning Concentration"
88,generic_2,Academic Support & Resources,How do I get the most out of professor office hours and TA sessions?,120 to 149,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
89,generic_2,Personal Development & Wellness,How do successful students manage stress during particularly challenging semesters?,60 to 89,2024-2025,"BSEE Electrical Engineering, Machine Learning Concentration"
90,generic_2,Personal Development & Wellness,What campus resources help with time management and academic planning?,120 to 149,2022-2023,BS Dual Degree Physics and Electrical Engineering
91,generic_2,Personal Development & Wellness,Are there peer support networks specifically for high-achieving students?,60 to 89,2021-2022,"BSCPE Computer Engineering, Machine Learning Concentration"
92,generic_2,Personal Development & Wellness,How do I maintain my academic performance while exploring other interests?,30 to 59,2023-2024,BSCPE Computer Engineering
93,generic_2,Personal Development & Wellness,What strategies help prevent burnout in demanding technical programs?,None yet!,2025-2026,"BSCE Civil Engineering, Energy Infrastructure Concentration"
94,generic_2,Personal Development & Wellness,Where can I find help if I'm struggling with imposter syndrome or perfectionism?,150 or more,2021-2022,"BSCE Civil Engineering, Land Development Engineering Concentration"
95,generic_2,Financial Planning & Opportunities,What competitive scholarships should high-GPA students be applying for?,90 to 119,2022-2023,BS Dual Degree Physics and Mechanical Engineering
96,generic_2,Financial Planning & Opportunities,Are there paid research positions or teaching assistant opportunities available?,None yet!,2025-2026,BS Dual Degree Physics and Computer Engineering
97,generic_2,Financial Planning & Opportunities,How do I find merit-based funding for graduate school if I decide to continue?,60 to 89,2023-2024,BS Dual Degree Physics and Computer Engineering
98,generic_2,Financial Planning & Opportunities,What emergency financial resources exist if unexpected costs arise?,30 to 59,2022-2023,BS Dual Degree Physics and Electrical Engineering
99,generic_2,Future Planning & Graduate School,How do I know if graduate school is the right choice for my career goals?,60 to 89,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
100,generic_2,Future Planning & Graduate School,What GRE preparation and timeline do you recommend?,30 to 59,2023-2024,"BSCE Civil Engineering, Land Development Engineering Concentration"
101,generic_2,Future Planning & Graduate School,Which graduate programs have strong relationships with our department?,Up to 29,2025-2026,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
102,generic_2,Future Planning & Graduate School,How do I build a competitive graduate school application?,90 to 119,2022-2023,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
103,generic_2,Future Planning & Graduate School,Should I consider direct PhD programs or master's first?,60 to 89,2021-2022,BSCPE Computer Engineering
104,generic_2,Future Planning & Graduate School,What research experience is necessary for competitive PhD applications?,120 to 149,2022-2023,"BSEE Electrical Engineering, Machine Learning Concentration"
105,generic_2,Department Resources & Opportunities,What unique facilities or labs should I take advantage of before graduating?,120 to 149,2021-2022,BS Dual Degree Physics and Mechanical Engineering
106,generic_2,Department Resources & Opportunities,"Are there any special programs, honors tracks, or distinctions I should pursue?",30 to 59,2024-2025,BSME Mechanical Engineering
107,generic_2,Department Resources & Opportunities,How do I get involved in departmental committees or student government?,90 to 119,2023-2024,"BSCPE Computer Engineering, Machine Learning Concentration"
108,generic_2,Department Resources & Opportunities,What teaching or mentoring opportunities are available for undergraduates?,Up to 29,2024-2025,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
109,generic_2,Department Resources & Opportunities,Who are the key staff members I should build relationships with beyond faculty?,120 to 149,2021-2022,BS Dual Degree Physics and Computer Engineering
110,sophomore,Academic Planning & Course Selection,"How do I choose the right sequence for my core engineering courses (thermodynamics, mechanics, materials science)?",150 or more,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
111,sophomore,Academic Planning & Course Selection,"Which math courses should I prioritize - differential equations, linear algebra, or statistics?",None yet!,2025-2026,"BSSE Systems Engineering, Energy Systems Concentration"
112,sophomore,Academic Planning & Course Selection,"What's the typical course load for sophomore year, and how does it compare to freshman year?",None yet!,2025-2026,BS Environmental Engineering
113,sophomore,Academic Planning & Course Selection,Should I start taking technical electives this year or wait until junior year?,60 to 89,2023-2024,BS Environmental Engineering
114,sophomore,Academic Planning & Course Selection,How do I balance breadth requirements with my engineering coursework?,90 to 119,2023-2024,BSSE Systems Engineering
115,sophomore,Academic Planning & Course Selection,"Are there any ""weed-out"" courses I should be prepared for this year?",120 to 149,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
116,sophomore,Academic Planning & Course Selection,Which professors do you recommend for my upcoming required courses?,120 to 149,2022-2023,BSEE Electrical Engineering
117,sophomore,Major Confirmation & Specialization,How do I know if mechanical engineering is definitely the right major for me?,120 to 149,2021-2022,BS Dual Degree Physics and Electrical Engineering
118,sophomore,Major Confirmation & Specialization,What are the different concentration areas within mechanical engineering?,120 to 149,2021-2022,"BSCE Civil Engineering, Land Development Engineering Concentration"
119,sophomore,Major Confirmation & Specialization,When do I need to declare a specific concentration or track?,Up to 29,2024-2025,"BSSE Systems Engineering, Energy Systems Concentration"
120,sophomore,Major Confirmation & Specialization,What courses can I take to explore different areas of mechanical engineering?,Up to 29,2024-2025,"BSME Mechanical Engineering, Energy Engineering Concentration"
121,sophomore,Major Confirmation & Specialization,"Should I consider a minor, and if so, which ones complement ME well?",120 to 149,2021-2022,BS Dual Degree Physics and Computer Engineering
122,sophomore,Major Confirmation & Specialization,How does course selection now affect my options for specialization later?,150 or more,2022-2023,BSCPE Computer Engineering
123,sophomore,Study Strategies & Academic Success,What study methods work best for engineering courses versus general education?,60 to 89,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
124,sophomore,Study Strategies & Academic Success,How do I effectively prepare for my first real engineering exams?,120 to 149,2021-2022,BS Dual Degree Physics and Mechanical Engineering
125,sophomore,Study Strategies & Academic Success,What resources are available if I start struggling with more advanced math or science?,60 to 89,2021-2022,BSSE Systems Engineering
126,sophomore,Study Strategies & Academic Success,How do I manage the increased workload compared to freshman year?,None yet!,2025-2026,BSEE Electrical Engineering
127,sophomore,Study Strategies & Academic Success,Are there study groups or collaborative learning opportunities for sophomore courses?,Up to 29,2025-2026,"BSEE Electrical Engineering, Machine Learning Concentration"
128,sophomore,Study Strategies & Academic Success,What's the best way to approach lab reports and technical writing?,Up to 29,2023-2024,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
129,sophomore,Career Exploration & Preparation,When should I start thinking seriously about internships and career paths?,60 to 89,2023-2024,BS Dual Degree Physics and Computer Engineering
130,sophomore,Career Exploration & Preparation,What can I do this year to make myself more competitive for future internships?,150 or more,2022-2023,"BSCPE Computer Engineering, Machine Learning Concentration"
131,sophomore,Career Exploration & Preparation,Are there any engineering-related extracurriculars I should join now?,Up to 29,2023-2024,BS Dual Degree Physics and Computer Engineering
132,sophomore,Career Exploration & Preparation,How do I start building a professional network as a sophomore?,None yet!,2025-2026,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
133,sophomore,Career Exploration & Preparation,What career exploration resources are available for engineering students?,Up to 29,2024-2025,"BSCPE Computer Engineering, Machine Learning Concentration"
134,sophomore,Career Exploration & Preparation,Should I attend career fairs even though I'm not ready to apply for jobs yet?,Up to 29,2024-2025,BSSE Systems Engineering
135,sophomore,Research & Hands-On Experience,Is it too early to get involved in undergraduate research as a sophomore?,Up to 29,2023-2024,"BSEE Electrical Engineering, Machine Learning Concentration"
136,sophomore,Research & Hands-On Experience,What types of projects or competitions are appropriate for my level?,30 to 59,2023-2024,"BSEE Electrical Engineering, Machine Learning Concentration"
137,sophomore,Research & Hands-On Experience,How do I find opportunities to work with faculty on research projects?,60 to 89,2022-2023,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
138,sophomore,Research & Hands-On Experience,Are there any engineering design teams I could join?,60 to 89,2022-2023,BSEE Electrical Engineering
139,sophomore,Research & Hands-On Experience,What hands-on experiences will help me understand if I like practical engineering work?,120 to 149,2022-2023,BS Dual Degree Physics and Electrical Engineering
140,sophomore,Academic Support & Resources,What tutoring services are specifically available for engineering students?,150 or more,2022-2023,"BSCE Civil Engineering, Land Development Engineering Concentration"
141,sophomore,Academic Support & Resources,How do I make the most of professor office hours when I'm struggling?,90 to 119,2022-2023,BSME Mechanical Engineering
142,sophomore,Academic Support & Resources,What should I do if I'm considering changing majors within engineering?,150 or more,2021-2022,BSCM Construction Management
143,sophomore,Academic Support & Resources,Are there academic success workshops for sophomore engineering students?,None yet!,2025-2026,BS Dual Degree Physics and Mechanical Engineering
144,sophomore,Academic Support & Resources,Who can I talk to about time management and stress during this transition year?,90 to 119,2021-2022,"BSSE Systems Engineering, Energy Systems Concentration"
145,sophomore,Planning Ahead,What should I be doing now to prepare for junior year coursework?,60 to 89,2023-2024,BSEE Electrical Engineering
146,sophomore,Planning Ahead,How do I start planning for potential study abroad opportunities?,60 to 89,2022-2023,BSCE Civil Engineering
147,sophomore,Planning Ahead,When should I begin preparing for graduate school if that's something I'm considering?,30 to 59,2022-2023,BSCPE Computer Engineering
148,sophomore,Planning Ahead,What documentation or portfolio should I start keeping track of?,30 to 59,2024-2025,"BSEE Electrical Engineering, Machine Learning Concentration"
149,junior,Academic Planning & Advanced Coursework,How should I prioritize my remaining core requirements versus electives this semester?,60 to 89,2024-2025,BSCE Civil Engineering
150,junior,Academic Planning & Advanced Coursework,"Which advanced ME courses should I take together, and which ones should I space out?",Up to 29,2025-2026,BSCPE Computer Engineering
151,junior,Academic Planning & Advanced Coursework,Am I on track to complete all my degree requirements by senior year?,90 to 119,2022-2023,"BSCE Civil Engineering, Land Development Engineering Concentration"
152,junior,Academic Planning & Advanced Coursework,Should I consider taking graduate-level courses if I'm planning for grad school?,90 to 119,2022-2023,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
153,junior,Academic Planning & Advanced Coursework,"How do I choose between different elective tracks (design, thermal systems, materials, etc.)?",Up to 29,2025-2026,BSCM Construction Management
154,junior,Academic Planning & Advanced Coursework,What's the recommended sequence for my remaining technical electives?,150 or more,2021-2022,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
155,junior,Academic Planning & Advanced Coursework,Are there any courses that are particularly important for FE exam preparation?,90 to 119,2023-2024,"BSEE Electrical Engineering, Machine Learning Concentration"
156,junior,Internship & Career Development,"When should I start applying for summer internships, and what's the typical timeline?",60 to 89,2024-2025,BSSE Systems Engineering
157,junior,Internship & Career Development,How do I leverage my coursework and projects to make my resume more competitive?,150 or more,2021-2022,"BSEE Electrical Engineering, Machine Learning Concentration"
158,junior,Internship & Career Development,What technical skills should I be developing outside of class to stand out to employers?,30 to 59,2024-2025,"BSME Mechanical Engineering, Energy Engineering Concentration"
159,junior,Internship & Career Development,Should I be targeting specific types of companies or industries for internships?,30 to 59,2023-2024,BS Environmental Engineering
160,junior,Internship & Career Development,How do I prepare for technical interviews and engineering problem-solving questions?,None yet!,2025-2026,BS Dual Degree Physics and Electrical Engineering
161,junior,Internship & Career Development,What's the best way to network with alumni and industry professionals?,Up to 29,2024-2025,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
162,junior,Internship & Career Development,"Should I consider co-op programs at this point, or is it too late?",None yet!,2025-2026,"BSCE Civil Engineering, Land Development Engineering Concentration"
163,junior,Research & Project Experience,Is junior year the right time to get seriously involved in research projects?,Up to 29,2024-2025,BS Environmental Engineering
164,junior,Research & Project Experience,How do I find research opportunities that align with my career interests?,150 or more,2022-2023,BSEE Electrical Engineering
165,junior,Research & Project Experience,What's the time commitment for meaningful undergraduate research participation?,Up to 29,2024-2025,BS Dual Degree Physics and Electrical Engineering
166,junior,Research & Project Experience,Should I consider an independent study or honors thesis project?,150 or more,2022-2023,"BSCE Civil Engineering, Energy Infrastructure Concentration"
167,junior,Research & Project Experience,How do I balance research work with my heavy course load?,Up to 29,2023-2024,BSME Mechanical Engineering
168,junior,Research & Project Experience,What types of projects would be most valuable for graduate school applications?,60 to 89,2023-2024,"BSSE Systems Engineering, Energy Systems Concentration"
169,junior,Specialization & Focus Areas,How do I decide which concentration or specialization to pursue?,30 to 59,2022-2023,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
170,junior,Specialization & Focus Areas,What are the career prospects for different mechanical engineering specializations?,Up to 29,2025-2026,BSME Mechanical Engineering
171,junior,Specialization & Focus Areas,Should I be building expertise in specific software tools or programming languages?,120 to 149,2021-2022,"BSCE Civil Engineering, Energy Infrastructure Concentration"
172,junior,Specialization & Focus Areas,How important is it to have a clear specialization versus staying broad?,150 or more,2022-2023,BSCM Construction Management
173,junior,Specialization & Focus Areas,What emerging areas in mechanical engineering should I be aware of?,30 to 59,2023-2024,"BSME Mechanical Engineering, Precision Engineering and Metrology Concentration"
174,junior,Graduate School Planning,How do I know if graduate school is the right path for my career goals?,None yet!,2025-2026,BS Dual Degree Physics and Mechanical Engineering
175,junior,Graduate School Planning,When should I start preparing for the GRE if I'm considering grad school?,Up to 29,2024-2025,BSCM Construction Management
176,junior,Graduate School Planning,What research experience do I need to be competitive for top graduate programs?,None yet!,2025-2026,"BSME Mechanical Engineering, Aerospace Engineering Concentration"
177,junior,Graduate School Planning,How do I identify potential graduate advisors and research groups?,None yet!,2025-2026,"BSME Mechanical Engineering, Aerospace Engineering Concentration"
178,junior,Graduate School Planning,Should I be reaching out to graduate schools or faculty this early?,120 to 149,2022-2023,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
179,junior,Graduate School Planning,What's the difference between pursuing a Master's versus going directly to a PhD?,Up to 29,2023-2024,BS Environmental Engineering
180,junior,Professional Development,"What professional organizations should I join, and how do I get involved?",60 to 89,2024-2025,"BSME Mechanical Engineering, Energy Engineering Concentration"
181,junior,Professional Development,Are there any certifications or licenses I should start working toward?,90 to 119,2023-2024,"BSME Mechanical Engineering, Precision Engineering and Metrology Concentration"
182,junior,Professional Development,How do I develop better technical communication and presentation skills?,90 to 119,2023-2024,BSCE Civil Engineering
183,junior,Professional Development,What leadership opportunities are available within the engineering department?,60 to 89,2023-2024,BS Environmental Engineering
184,junior,Professional Development,"Should I consider studying abroad, and how would that fit with my timeline?",30 to 59,2023-2024,"BSME Mechanical Engineering, Energy Engineering Concentration"
185,junior,Academic Support & Performance,How do I manage the increased difficulty and workload of junior-level courses?,150 or more,2021-2022,BSSE Systems Engineering
186,junior,Academic Support & Performance,What strategies work best for complex design projects and open-ended problems?,Up to 29,2023-2024,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
187,junior,Academic Support & Performance,How do I effectively work in teams for major engineering projects?,30 to 59,2023-2024,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
188,junior,Academic Support & Performance,What resources are available if I'm struggling with advanced coursework?,120 to 149,2022-2023,"BSME Mechanical Engineering, Motorsports Engineering Concentration"
189,junior,Academic Support & Performance,How do I maintain my GPA while taking more challenging courses?,Up to 29,2023-2024,"BSEE Electrical Engineering, Power and Energy Systems Concentration"
190,junior,Future Planning & Timeline,What should my priorities be for the rest of junior year to stay on track?,30 to 59,2024-2025,"BSSE Systems Engineering, Energy Systems Concentration"
191,junior,Future Planning & Timeline,How should I be planning my senior year course schedule and capstone project?,60 to 89,2023-2024,"BSME Mechanical Engineering, Biomedical Engineering Concentration"
192,junior,Future Planning & Timeline,What experiences or accomplishments do I need before I graduate?,120 to 149,2022-2023,BS Dual Degree Physics and Mechanical Engineering
193,junior,Future Planning & Timeline,When should I start thinking about post-graduation plans more concretely?,120 to 149,2022-2023,BSCPE Computer Engineering
